Titel,Projekt,Livsmedelsnummer,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag
Knäckemacka vete olika fyllningar typ Wasa Sandwich,2006 Mejeri och vegetariskt,2062,Triticum aestivum L.,Övriga bröd (A0820),Vete (B1312),"Mjöl, grodd och kli borttaget (Endosperm) (C0208)","Hel, formad (E0147)",Fullständigt upphettad (F0014),Bakad eller rostad i ugn (G0005),Fylld eller fyllning (H0207); Färg tillförd (H0150); Jäst tillfört (H0753); Mjölk eller mjölkprodukt tillförd (H0297); Saltad (H0173); Vassle tillfört (H0260); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263),Torkad (J0116),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),
Fullkornsmacka råg olika fyllningar typ Wasa sandwich,2006 Mejeri och vegetariskt,2063,Secale cereale L. ssp. Cereale,Övriga bröd (A0820),Råg (B2352),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, formad (E0147)",Fullständigt upphettad (F0014),Bakad eller rostad i ugn (G0005),Fylld eller fyllning (H0207); Färg tillförd (H0150); Jäst tillfört (H0753); Ost tillförd (H0143); Råg tillfört (H0337); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263),Torkad (J0116),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),
Falafel kikärtskroketter frysta,2006 Mejeri och vegetariskt,2064,Cicer arietinum L. ssp. arietinum,Baljväxter (A0831),Kikärt (B1172),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, formad (E0147)",Fullständigt upphettad (F0014),Stekt (G0028),Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Saltad (H0173); Spannmål tillförd (H0152); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263),Fryst (J0136),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Papper (N0039),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Pytt-i-panna vegetarisk,2006 Mejeri och vegetariskt,2065,Solanum tuberosum,Potatisrätter (A0830),Potatis (B1218),Knöl (C0308),Delad i bitar (E0152),Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Saltad (H0173); Socker eller sirap tillfört (H0136); Soja tillfört (H0338); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vete tillfört (H0319),Fryst (J0136),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Sojakorv,2006 Mejeri och vegetariskt,2066,Glycine max (L.) Merr.,Korv eller liknande produkt (A0798),Sojaböna (B1452),"Fullkorn, hela frön, gryn, bönor (C0133)",Fast (E0151),Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Grönsak tillförd (H0212); Homogeniserad eller emulsifierad (H0306); Jäst tillfört (H0753); Kryddor eller örter tillsatt (H0151); Protein tillfört (H0164); Ris tillfört (H0321); Saltad (H0173); Socker eller sirap tillfört (H0136); Vegetabiliskt fett eller,Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Ätbart korvskinn (Z0094)
Gourmetbullar vegetariska djupfrysta typ Hälsans kök,2006 Mejeri och vegetariskt,2067,Glycine max (L.) Merr.,Vegetariska produkter (A0800),Sojaböna (B1452),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Grönsak tillförd (H0212); Jäst tillfört (H0753); Kryddor eller örter tillsatt (H0151); Ris tillfört (H0321); Saltad (H0173); Vegetabiliskt fett eller olja tillfört (H0263); Vete tillfört (H0319); Äggvita tillförd (H0205),Fryst (J0136),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Vegetarisk färs sojaprotein fryst,2006 Mejeri och vegetariskt,2068,Glycine max (L.) Merr.,Vegetariska produkter (A0800),Sojaböna (B1452),"Fullkorn, hela frön, gryn, bönor (C0133)",Delad eller mald (E0122),Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Jäst tillfört (H0753); Kryddor eller örter tillsatt (H0151); Saltad (H0173); Vegetabiliskt fett eller olja tillfört (H0263); Vete tillfört (H0319),Kyld (J0131),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
"Vegebitar, grytbitar av veteprotein",2006 Mejeri och vegetariskt,2069,Triticum aestivum L.,Vegetariska produkter (A0800),Vete (B1312),"Protein extrakt, konstrat eller isolat (C0236)","Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Grönsak tillförd (H0212); Jäst tillfört (H0753); Kryddor eller örter tillsatt (H0151); Protein tillfört (H0164); Ris tillfört (H0321); Saltad (H0173); Socker eller sirap tillfört (H0136); Vegetabiliskt fett eller olja tillfört (H0263); Vete tillfört (H031,Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Matlagningsbas m soja fett 17% Alpro soya Cuisine,2006 Mejeri och vegetariskt,2070,Helianthus annuus L.,Vegetabiliska produkter (A0788),Solrosolja (B1547),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),"Fruktsocker (H0168); Saltad (H0173); Smaksatt, krydda eller ört tillsatt (H0227); Soja tillfört (H0338); Vatten tillfört (H0148)",Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Okänt förpackningsmaterial (N0001),Människoföda (P0026),Belgien (),
Müslibar fullkorn berikad typ Special K Bar Red fruit,2006 Mejeri och vegetariskt,2071,Oryza sativa L.,Spannmål och spannmålsprodukter (A0812),Ris (B1322),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),"Berikad (H0194); Frukt tillfört (H0147); Fruktsocker (H0168); Korn tillfört (H0323); Mjölk eller mjölkprodukt tillförd (H0297); Saltad (H0173); Smaksatt, kryddor (H0229); Socker eller sirap tillfört (H0136); Sorbitol (H0303); Vegetabiliskt fett eller olja",Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Müslibar berikad typ Special K Chocolate,2006 Mejeri och vegetariskt,2072,Oryza sativa L.,Spannmål och spannmålsprodukter (A0812),Ris (B1322),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Berikad (H0194); Choklad eller kakao tillförd (H0231); Fruktsocker (H0168); Korn tillfört (H0323); Mjölk eller mjölkprodukt tillförd (H0297); Saltad (H0173); Socker eller sirap tillfört (H0136); Sorbitol (H0303); Vegetabiliskt fett eller olja tillfört (H0,Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Jordnötssås,2014 2015 NKMT beräknade livsmedel,2073,Arachis hypogaea L.,Sås (A0862),Jordnöt (B1337),Balja eller frö (C0158),Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Coleslaw kall sås,2014 2015 NKMT beräknade livsmedel,2075,Bos taurus,Sås (A0862),Vitkål (B2071),Huvudväxt (C0151),"Vätska, hög viskositet, med fasta bitar (E0138)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Löksås med grädde,2014 2015 NKMT beräknade livsmedel,2078,Allium cepa L.,Sås (A0862),Lök (B1300),Lök (C0290),"Vätska, hög viskositet, med fasta bitar (E0138)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Äggnudlar kokta m salt,2014 2015 NKMT beräknade livsmedel,2079,Triticum aestivum L. ssp. aestivum,Pasta (A0815),Vete (B1312),"Frö eller kärna, skal borttaget (C0134)","Hel, formad (E0147)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),()
Nässelstuvning,2014 2015 NKMT beräknade livsmedel,2080,Urtica dioica L.,Grönsaksrätter (A0828),Nässla (B1674),Blad (C0200),Delad i trekantiga bitar (ost eller kaka) (E0107),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Kantarellstuvning,2014 2015 NKMT beräknade livsmedel,2081,Cantharellus spp.,"Grönsaker, rotfrukter och svamp (A0825)",Kantarell (B1569),Del av alg eller svamp (C0247),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Ratatouille,2014 2015 NKMT beräknade livsmedel,2083,Lycopersicon esculentum Mill.,Grönsaksrätter (A0828),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Potatisgratäng matlagningsgrädde,2014 2015 NKMT beräknade livsmedel,2085,Solanum tuberosum L. ssp. tuberosum,Potatisrätter (A0830),Potatis (B1218),Knöl (C0308),Halvfast med fasta bitar (E0134),Fullständigt upphettad (F0014),Ugn eller grill,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Sjömansbiff,2014 2015 NKMT beräknade livsmedel,2092,Solanum tuberosum L. ssp. tuberosum,Potatisrätter (A0830),Potatis (B1218),Knöl (C0308),Skivad (E0137),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Kreolsk gryta,2014 2015 NKMT beräknade livsmedel,2093,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Flygande Jakob Kyckling bacon jordnötter banan,2014 2015 NKMT beräknade livsmedel,2096,Gallus gallus domesticus L.,Fågel (A0795),Kyckling (B1198),"Skelett kött del, utan ben och utan skinn (C0268)",Delad i trekantiga bitar (ost eller kaka) (E0107),Fullständigt upphettad (F0014),Ugn eller grill,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Hemlagat (Z0109)
Prinskorv stekt,2014 2015 NKMT beräknade livsmedel,2097,Sus scrofa,Korv eller liknande produkt (A0798),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 1,5-7 cm (E0105)",Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Skinkröra,2014 2015 NKMT beräknade livsmedel,2098,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 0,3-1,5 cm (E0140)",Fullständigt upphettad (F0014),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Hamburgare blandfärs stekt,2014 2015 NKMT beräknade livsmedel,2099,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 0,3-1,5 cm (E0140)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Köttfärssås blandfärs,2014 2015 NKMT beräknade livsmedel,2100,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Nötfärs fett 10% stekt,2014 2015 NKMT beräknade livsmedel,2101,Bos taurus,Kött (A0794),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Mald (E0136),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Nöt fläsk kött stekt ospec.,2014 2015 NKMT beräknade livsmedel,2103,Sus scrofa,Kött (A0794),Gris och nötkött (B1105),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Carbonara sås,2014 2015 NKMT beräknade livsmedel,2104,Sus scrofa,Sås (A0862),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Skagenröra,2014 2015 NKMT beräknade livsmedel,2107,Pandalus borealis,Fisk- och skaldjursrätt (A0804),Nordhavsräka (B1970),"Skelett kött del, utan ben och utan skinn (C0268)",Hel (E0131),Fullständigt upphettad (F0014),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),()
Fisksoppa,2014 2015 NKMT beräknade livsmedel,2108,Melanogrammus aeglefinus (L.),Fisk- och skaldjursrätt (A0804),Kolja (B1441),"Skelett kött del, utan ben och utan skinn (C0268)","Vätska, låg viskositet, med fasta bitar (Soppa) (E0149)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Havregrynsgröt fullkorn fiberhavregryn,2014 2015 NKMT beräknade livsmedel,2123,Avena sativa L.,"Cerealierätter t.ex. klimp, risotto, pizza (A0822)",Havre (B1219),"Frö eller kärna, skal borttaget (C0134)","Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Havregrynsgröt kokt m mjölk,2014 2015 NKMT beräknade livsmedel,2124,Bos Taurus,"Cerealierätter t.ex. klimp, risotto, pizza (A0822)",Nötkreatur (B1161),Mjölk (C0235),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Glasnudlar kokta m salt,2014 2015 NKMT beräknade livsmedel,2125,Vigna radiata L. R. Wilczek var. radiata,Baljväxträtter (A0832),Mungbönor (B1395),"Frö eller kärna, skal borttaget (C0134)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Industriell process inte känd (H0001),Torkad (J0116),Utan förpackningsmedium (K0003),Påse (M0197),Plast (N0036),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Majsvälling,2014 2015 NKMT beräknade livsmedel,2127,Zea mays L.,Mjöl eller stärkelse (A0813),Majs grupp (B1232),"Frö eller kärna, skal kvar (C0135)","Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),()
Gröt fullkorn ospec.,2014 2015 NKMT beräknade livsmedel,2128,Avena sativa L.,"Cerealierätter t.ex. klimp, risotto, pizza (A0822)",Havre (B1219),"Frö eller kärna, skal borttaget (C0134)","Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Pannkaka sojadryck,2014 2015 NKMT beräknade livsmedel,2133,Triticum aestivum L. ssp. aestivum,"Cerealierätter t.ex. klimp, risotto, pizza (A0822)",Vete (B1312),"Frö eller kärna, skal borttaget (C0134)","Hel, formad, tjocklek 0,3-1,5 cm (E0140)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Paj skinka broccoli,2014 2015 NKMT beräknade livsmedel,2134,Brassica oleracea var. botrytis L,"Cerealierätter t.ex. klimp, risotto, pizza (A0822)",Blomma använd som grönsak (B1036),Blomma (C0237),"Hel, formad (E0147)",Fullständigt upphettad (F0014),Ugn eller grill,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),()
Kebabpizza hemlagad,2014 2015 NKMT beräknade livsmedel,2138,Triticum aestivum L. ssp. aestivum,"Cerealierätter t.ex. klimp, risotto, pizza (A0822)",Vete (B1312),"Frö eller kärna, skal borttaget (C0134)","Hel, formad (E0147)",Fullständigt upphettad (F0014),Ugn eller grill,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Ost- och skinksås,2014 2015 NKMT beräknade livsmedel,2142,Bos taurus,Sås (A0862),Ko (B1201),Mjölk (C0235),"Vätska, hög viskositet, med fasta bitar (E0138)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Tzatziki,2014 2015 NKMT beräknade livsmedel,2144,Bos taurus,Fil och yoghurt (A0783),Ko (B1201),Mjölk (C0235),Halvflytande med fasta bitar (E0110),Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Ris a la malta m lättmjölk mellangrädde fett 4%,2014 2015 NKMT beräknade livsmedel,2147,Bos taurus,Dessert (A0864),Ko (B1201),Mjölk (C0235),Halvfast med fasta bitar (E0134),Delvis värmebehandlad (F0018),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),()
Rödkålssallad m äpple,2014 2015 NKMT beräknade livsmedel,2160,Brassica oleracea L. convar. capitata (L.),Grönsaker och svamp (A0826),Rödkål (B2072),Huvudväxt (C0151),"Delad i bitar < 0,3 cm (riven) (E0100)",Ej värmebehandlad (rå) (F0003),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Champinjoner stekta u fett,2014 2015 NKMT beräknade livsmedel,2161,Agaricus,"Grönsaker, rotfrukter och svamp (A0825)",Champinjoner (B2937),Del av alg eller svamp (C0247),Hel och i delar (E0104),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Palsternacka kokt,2014 2015 NKMT beräknade livsmedel,2162,Pastinaca sativa L.,Grönsaker och svamp (A0826),Palsternacka (B1483),Rot (C0306),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gratängsås med ost,2014 2015 NKMT beräknade livsmedel,2163,Bos taurus,Sås (A0862),Ko (B1201),Mjölk (C0235),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Fänkål kokt,2014 2015 NKMT beräknade livsmedel,2164,Foeniculum vulgare Mill. ssp. vulgare var. azoricum,Grönsaker och svamp (A0826),Fänkål (B1262),"Växter ovanför ytan, inte frukt och frön (C0144)",Hel och i delar (E0104),Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),()
Kroppkakor,2014 2015 NKMT beräknade livsmedel,2165,Solanum tuberosum L. ssp. tuberosum,Potatisrätter (A0830),Potatis (B1218),Knöl (C0308),"Delad i bitar < 0,3 cm (riven) (E0100)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Currysås Lätt Crème Fraiche,2014 2015 NKMT beräknade livsmedel,2173,Bos taurus,Sås (A0862),Ko (B1201),Mjölk (C0235),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Korv stroganoff mager,2014 2015 NKMT beräknade livsmedel,2174,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Ostkaka fett 7%,1989,2184,Bos taurus,Övriga ostprodukter (A0787),Ko (B1201),Mjölk (C0235),Halvfast med fasta bitar (E0134),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Grädde tillfört (H0296); Nöt eller frö tillfört (H0177); Smaksatt eller kryddextrakt tillfört (H0100); Socker eller sirap tillfört (H0136); Stärkelse tillfört (H0156); Vete tillfört (H0319); Ägg tillförd (H0186),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186)
Rapsolja,2011 Olja,2189,Brassica napus L. ssp. Napus,Vegetabiliskt fett och olja (A0806),Rapsolja (B1248),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Värmebehandlad (F0022),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Flaska (M0214),Glas (N0040),Människoföda (P0026),Europa (R0355),
Matfettsblandning fett 75% berikad typ Bregott,2010 Margariner,2190,Bos taurus,Margarin och blandade fetter (A0807),Ko (B1201),Grädde el gräddkomponent (C0123),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Mjölksyra, andra kulturer fermenterad (H0107); Saltad (H0173); Vatten tillfört (H0148); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316)",Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194)
Lättmargarin fett 40% berikad typ Lätta,2010 Margariner,2192,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Mjölk eller mjölkprodukt tillförd (H0297); Mjölk eller mjölkprodukt tillförd (H0297); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Vatten tillfört (H0148); Ve,Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196)
