Livsmedelsnamn,Livsmedelsnummer,Energi (kcal),Energi (kJ),Kolhydrater (g),Fett (g),Protein (g),Fibrer (g),Vatten (g),Alkohol (g),Aska (g),Monosackarider (g),Disackarider (g),Sackaros (g),Fullkorn totalt (g),Sockerarter (g),Summa mättade fettsyror (g),Fettsyra 4:0-10:0 (g),Fettsyra 12:0 (g),Fettsyra 14:0 (g),Fettsyra 16:0 (g),Fettsyra 18:0 (g),Fettsyra 20:0 (g),Summa enkelomättade fettsyror (g),Fettsyra 16:1 (g),Fettsyra 18:1 (g),Summa fleromättade fettsyror (g),Fettsyra 18:2 (g),Fettsyra 18:3 (g),Fettsyra 20:4 (g),EPA (Fettsyra 20:5) (g),DPA (Fettsyra 22:5) (g),DHA (Fettsyra 22:6) (g),Kolesterol (mg),Retinol (µg),Vitamin A (µg),β-Karoten (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Tiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinekvivalenter (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folat (µg),Fosfor (mg),Jod (µg),Järn (mg),Kalcium (mg),Kalium (mg),Magnesium (mg),Natrium (mg),Salt (g),Selen (µg),Zink (mg),Avfall (skal etc.) (%),Projekt,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag,Exempelvis,Visningsnamn,Söksträngar
Nöt- och chokladkräm Nutella,1860,525.7,2199.4,56.9,29.6,5.75,4.9,1.4,0,1.5,0,57.3,47.7,0,NULL,9.15,0,0.07,0.22,7.43,1.35,0.09,15.79,0.06,15.67,3.36,3.29,0.07,0,0,0,0,2,0,0.2,3,0.63,7.8,4.5,0.01,0.28,0,0.45,1.4,0.14,0.2,23.7,178,7,2.3,124,476,76,28,0.07,5,0.12,0,2004 Barn extra,Beta vulgaris L. var. altissima Döll.,Choklad eller chokladprodukt (A0839),Socker producerande planta (B1012),Sackaros (C0210),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Choklad eller kakao tillförd (H0231); Mjölk tillförd (H0184); Nöt eller frö tillfört (H0177); Smak ingrediens tillförd (H0117); Vassle tillfört (H0260); Vegetabiliskt fett eller olja tillfört (H0263),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Burk (M0215); Glas (M0130),Glas (N0040),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Nutella,"nutella, nötkräm, chokladkräm, nöt- och chokladkräm"
Choklad u tillsatt socker,1861,576.8,2413.5,46.9,39,10,0.4,2.3,0,1.4,0,4.3,0,0,NULL,22.89,0,0.19,0.59,9.93,12.19,0.19,12.56,0,12.45,1.38,1.22,0,0,0,0,0,0,15,17.2,26,0,0.13,NULL,0.16,0.22,0,0.5,2.17,0.02,0,7,189,NULL,2.2,133.5,326.5,175,63.5,0.16,2,0.2,0,1989,Theobroma cacao L.,Choklad eller chokladprodukt (A0839),Kakao (B1318),Frö eller kärna (C0155),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026); Osockrad (P0056),Sverige (R0376),,,Choklad utan tillsatt socker,"choklad utan tillsatt socker, sockerfri choklad"
Gelékonfekt,1863,352.3,1473.9,79.4,0,7.3,0,13,0,0.3,10.1,52,52,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,1.22,0,0,0,4,4,1.3,140,8,43,74,0.19,0,0.1,0,1989,Beta vulgaris L. var. altissima Döll.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Socker producerande planta (B1012),Sackaros (C0210),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Kokt (G0014),Frukt tillfört (H0147); Gelatin tillfört (H0165); Vatten tillfört (H0148),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Gelékonfekt,gelékonfekt
Karameller syrliga,1864,394.9,1652.4,94.2,0,3,0,2.6,0,0.2,15,63,62,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0.5,0,0,0,100,NULL,1.1,89,210,29,25,0.06,0,0.1,0,1989,Beta vulgaris L. var. altissima Döll.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Socker producerande planta (B1012),Sackaros (C0210),Fast (E0151),Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Smaksatt eller kryddextrakt tillfört (H0100),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Syrliga karameller,"karameller syrliga, syrliga karameller"
Kola,1865,455.8,1907,68.9,18,4.1,0,7.2,0,1.8,6.6,41,35,0,NULL,12,1.79,0.6,1.85,5.23,2.05,0.15,4.57,0.38,3.88,0.51,0.41,0.09,0.02,0,0,0,10,38,39.4,17,0.09,0.3,NULL,0.01,0.02,0,0.1,0.78,0.03,0.3,7,64,2,0.8,64,99,16,320,0.8,1,0.3,0,1989,Beta vulgaris L. var. altissima Döll.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Socker producerande planta (B1012),Sackaros (C0210),Fast (E0151),Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Fett tillfört (H0221); Grädde tillfört (H0296); Smaksatt eller kryddextrakt tillfört (H0100); Socker eller sirap tillfört (H0136),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Kola,kola
Lakritskonfekt,1866,378.1,1582.1,86.1,3.2,0,0,10.4,0,0.3,0,61.9,61.9,0,NULL,2.7,0.39,1.36,0.52,0.3,0.13,0,0.24,0,0.24,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,27,9,6.3,73,150,45,75,0.19,1,0.3,0,1989,Beta vulgaris L. var. altissima Döll.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Socker producerande planta (B1012),Sackaros (C0210),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Kokt (G0014),Gelatin tillfört (H0165); Smaksatt eller kryddextrakt tillfört (H0100); Vatten tillfört (H0148),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Lakritskonfekt,lakritskonfekt
Marmeladkonfekt,1867,335.6,1404.2,82.6,0,0,0,17.2,0,0.2,5.7,49,49,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,6.8,NULL,0.3,9.2,20,2,64,0.16,0,0.1,0,1989,Beta vulgaris L. var. altissima Döll.,Sylt eller marmelad (A0837),Socker producerande planta (B1012),Sackaros (C0210),Halvfast med fasta bitar (E0134),Fullständigt upphettad (F0014),Kokt (G0014),Frukt tillfört (H0147); Gelatin tillfört (H0165); Vatten tillfört (H0148),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Marmeladkonfekt,marmeladkonfekt
Skumgodis,1868,334.8,1400.8,80.4,0,2,0,17.3,0,0.3,11,56,50,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0.33,0,0,1,6,NULL,1.6,18,6,14.3,39,0.1,0,0.1,0,1989,Beta vulgaris L. var. altissima Döll.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Socker producerande planta (B1012),Sackaros (C0210),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Gelatin tillfört (H0165); Smaksatt eller kryddextrakt tillfört (H0100),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Skumgodis,skumgodis
Polkagrisar,1869,398.6,1667.7,98.1,0,0,0,1.8,0,0.1,0,67,67,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,NULL,0.2,7,0,3,9,0.02,0,0.1,0,1989,Beta vulgaris L. var. altissima Döll.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Socker producerande planta (B1012),Sackaros (C0210),"Hel, formad (E0147)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Fett tillfört (H0221); Färg tillförd (H0150); Införd luft (glass) (H0178),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Polkagrisar,"polkagris, polkagrisar"
Tuggummi,1870,378.3,1582.7,92.7,0,0.4,0,2.8,0,4.1,1.5,79.5,78.2,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0.07,0,0,0,4,NULL,7.4,1152,41,156,24,0.06,0,0.1,0,1989,Beta vulgaris L. var. altissima Döll,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Socker producerande planta (B1012),Sackaros (C0210),Fast (E0151),Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Tuggummi,tuggummi
Klubba chokladkola karamell,1871,435.8,1823.4,80.6,11.1,2.5,0,4.8,0,1,9,51.7,47.7,0,NULL,7.4,1.11,0.37,1.14,3.23,1.27,0.1,2.8,0.23,2.39,0.3,0.25,0.05,0.01,0,0,0,10,1,1.2,3,0.05,0.2,NULL,0.01,0.02,0,0.1,0.52,0.01,0.1,0,16.5,NULL,0.2,10,210,45.9,25,0.06,1,0.1,0,1989,Beta vulgaris L. var. altissima Döll.,Choklad eller chokladprodukt (A0839),Socker producerande planta (B1012),Sackaros (C0210),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Choklad eller kakao tillförd (H0231); Fett tillfört (H0221); Smaksatt eller kryddextrakt tillfört (H0100),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,,
Saltlakrits,1873,394.9,1652.4,94.2,0,3,0,2.6,0,0.2,15,63,62,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0.5,0,0,0,100,NULL,1.1,89,210,29,293,0.73,1,0.3,0,1989,Glycyrrhiza glabra L.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Lakrits (B2048),Rot (C0306),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Saltad (H0173); Socker eller sirap tillfört (H0136),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Saltlakrits,saltlakrits
Supersalt lakrits Djungelvrål,1874,342.9,1434.7,76,0,7.83,1.2,14.45,0,0.48,7.71,35.62,33.7,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,15.2,4,1.53,60.3,80.2,21.7,56.2,0.14,1.1,0.07,0,2004 Barn stora,Beta vulgaris L. var. altissima Döll.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Socker producerande planta (B1012),Sackaros (C0210),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Färg tillförd (H0150); Modifierad stärkelse tillfört (H0279); Smaksatt eller kryddextrakt tillfört (H0100); Socker eller sirap tillfört (H0136); Stärkelse tillfört (H0156),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),,,Djungelvrål,djungelvrål
Chokladkola mörk m chokladöverdrag Riesen,1875,470.2,1967.2,71.7,18.23,4.34,0,4.34,0,1.36,3.35,39.52,32,0,NULL,8.54,0.03,0.05,0.13,3.59,4.49,0.14,7.82,0.05,7.75,0.97,0.93,0.04,0,0,0,0,6.6,16.9,17.3,5,0.1,1.29,49.6,0.02,0.19,0,0.3,1,0.03,0.25,17.7,133.8,10,3.44,71.5,381.2,62.9,67,0.17,1.3,0.91,0,2004 Barn stora,Beta vulgaris L. var. altissima Döll.,Choklad eller chokladprodukt (A0839),Socker producerande planta (B1012),Socker sirap och flytande sirap (C0271),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Choklad eller kakao tillförd (H0231); Mjölk eller mjölkprodukt tillförd (H0297); Modifierad stärkelse tillfört (H0279); Socker eller sirap tillfört (H0136); Sorbitol (H0303); Vegetabiliskt fett eller olja tillfört (H0263),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Tyskland (R0202),,,Riesen,"riesen, chokladkola"
Kexchoklad,1876,506,2117.2,59.8,25,10,0.7,2.3,0,2.2,0.2,43,39.4,0,NULL,15.51,0.29,0.71,0.97,6.81,6.4,0.14,8.22,0.14,8.08,1.39,1.15,0.24,0,0,0,0,7,73,76,36,0.22,0.22,NULL,0.13,0.34,0,1.11,2.78,0.04,0,7.5,272,NULL,2,303.5,395.5,51.5,198.5,0.5,1,1.2,0,1989,Beta vulgaris L. var. altissima Döll.,Choklad eller chokladprodukt (A0839),Socker producerande planta (B1012),Sackaros (C0210),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Choklad eller kakao tillförd (H0231); Mjölk eller mjölkprodukt tillförd (H0297); Vegetabiliskt fett eller olja tillfört (H0263); Vete tillfört (H0319),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Kexchoklad,kexchoklad
Fruktkola AKO,1877,394,1648.7,96.3,0,0.68,0,2.99,0,0.02,20.38,36.74,31.3,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,2.7,2,0.06,2.3,2,1,7.4,0.02,1.1,0.01,0,2004 Barn stora,Beta vulgaris L. var. altissima Döll.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Socker producerande planta (B1012),Socker sirap och flytande sirap (C0271),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Gelatin tillfört (H0165); Modifierad stärkelse tillfört (H0279); Smaksatt eller kryddextrakt tillfört (H0100); Socker eller sirap tillfört (H0136); Syrad (H0200); Vegetabiliskt fett eller olja tillfört (H0263),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),,,Fruktkola,"fruktkola, fruktkola ako"
Skumbilar Ahlgrens bilar,1878,369.2,1544.6,83.7,0.1,6.94,0,9.06,0,0.23,7.87,41.7,36.2,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,17.4,6,0.12,4.5,3.6,1,85.6,0.21,1.1,0.01,0,2004 Barn stora,Triticum aestivum L.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Vete (B1312),Stärkelse (C0203),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Färg tillförd (H0150); Gelatin tillfört (H0165); Smaksatt eller kryddextrakt tillfört (H0100); Socker eller sirap tillfört (H0136); Stärkelse tillfört (H0156); Syrad (H0200); Vegetabiliskt fett eller olja tillfört (H0263),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),,,Ahlgrens bilar,ahlgrens bilar
Energibar choklad nötter Start,1881,419,1753.2,69.6,11.17,7.1,4.5,6.32,0,1.32,19.19,14.34,11.8,0,NULL,5.93,0.55,1.61,0.61,1.56,1.49,0.05,3.36,0.02,3.3,1.39,1.34,0.05,0,0,0,0,2,0,0.4,3,0.42,1.33,2.3,0.2,0.07,0,0.8,2,0.11,0.14,22.5,203.4,5,2.87,34.9,244.1,65.4,161.4,0.4,4,1.42,0,2004 Barn stora,Beta vulgaris L. var. altissima Döll.,Choklad eller chokladprodukt (A0839),Socker producerande planta (B1012),Sackaros (C0210),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Choklad eller kakao tillförd (H0231); Nöt eller frö tillfört (H0177); Smaksatt eller kryddextrakt tillfört (H0100); Vegetabiliskt fett eller olja tillfört (H0263),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),,Start,Energibar med choklad och nötter,"energibar, energibar choklad, energibar nötter, energibar choklad nötter"
Karameller syrliga sockerfria,1882,401.8,1681.3,98.9,0,0,0,1,0,0.1,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,100,NULL,1.1,89,210,29,25,0.06,0,0.1,0,1989,Beta vulgaris L. var. altissima Döll.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Kemisk produkt som livsmedel (B1041),Del av växt eller djur inte applicerbart (kemiskt ämne) (C0005),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Syrad (H0200); Sötningsmedel (H0108),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Sockerfria karameller,"karameller sockerfria, sockerfria karameller"
Tuggummi sockerfritt,1884,352.3,1473.9,86.1,0,0.6,0,3.5,0,9.8,0,2.4,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0.1,0,0,0,4,NULL,10,2355,87,186,102,0.26,0,0.1,0,1989,Beta vulgaris L. var. altissima Döll.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Kemisk produkt som livsmedel (B1041),Del av växt eller djur inte applicerbart (kemiskt ämne) (C0005),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Sötningsmedel (H0108),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026); Osockrad (P0056),Geografisk plats eller region inte känd (R0001),,,Sockerfritt tuggummi,"tuggummi sockerfritt, sockerfritt tuggummi"
Mandelmassa,1885,459.5,1922.8,51.5,23,9.9,3.5,10.8,0,1.3,0.4,50,49,0,NULL,1.76,0,0,0,1.39,0.42,0,15.4,0.11,15.3,4.86,4.86,0,0,0,0,0,0,12,12.5,6,0,12,NULL,0.11,0.35,0,1.6,3.25,0.06,0,45,240,NULL,1.9,59,270,140,33,0.08,1,1.5,0,1989,Prunus amygdalus var. dulcis,Nöt eller frö produkt (A0824),Sötmandel (B2720),Frö eller kärna (C0155),Mald (E0136),Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Socker eller sirap tillfört (H0136),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Mandelmassa,mandelmassa
Kakaopulver fett 20-22%,1886,393.7,1647.2,10.6,21.5,23.5,34,3.1,0,7.3,0,0,0,0,NULL,12.6,0,0,0,5.36,7.06,0.18,7.12,0,7.12,0.61,0.61,0,0,0,0,0,0,0,3.3,40,0,0.4,NULL,0.11,0.15,0,2.1,6.02,0.07,0,38,660,2.8,11,105,3490,520,35,0.09,1,6.9,0,1989,Theobroma cacao L.,Choklad eller chokladprodukt (A0839),Kakao (B1318),"Fullkorn, hela frön, gryn, bönor (C0133)",Finmald (E0106),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Fett tillfört (H0221); Lagrad (H0253),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 15-30% (Z0185),,Kakao,"kakao, kakaopulver, kakao 20%, kakao 22%"
"Kakaopulver m socker fett 2,5% typ Oboy",1887,402.5,1684.2,87.7,2.9,5.06,0,2.17,0,2.16,16,65.4,65.4,0,NULL,1.47,0,0,0,0.63,0.82,0.02,0.83,0,0.83,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0.1,1.3,0,0.04,0,0.53,1.4,0,0,8.8,168,0,1.4,31.8,676,114,188,0.47,1,1.4,0,2014 Drycker,Theobroma cacao L.,Choklad eller chokladprodukt (A0839),Kakao (B1318),"Fullkorn, hela frön, gryn, bönor (C0133)",Finmald (E0106),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Socker eller sirap tillfört (H0136),Konserverad genom värmebehandling (J0120),Utan förpackningsmedium (K0003),"Kanna, flaska eller burk (M0194)",Papper (N0039),Människoföda (P0026),Sverige (R0376),,Oboy,Oboypulver,"oboy, oboypulver"
Måltidsersättning chokladsmak pulver Nutrilett Intensiv,1891,376.5,1575.4,32.6,9.01,35,11.6,3.73,0,8.06,29.1,1.52,0.29,0,NULL,2.27,0.01,0.07,0.04,1.43,0.64,0.03,1.91,0.01,1.88,4.38,3.98,0.4,0,0,0,0,2,890,890,3,3.8,10.3,39.3,1.06,1.51,42,13,18.8,1.9,1.63,207,663.1,96,16.6,349.3,1503.9,294.1,1140.9,2.85,51.55,10.02,0,2005 Riksmaten2,Glycine max (L.) Merr.,Kosttillskott och hälsopreparat (A0870),Sojaböna (B1452),"Protein extrakt, konstrat eller isolat (C0236)",Mald (E0136),Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Berikad (H0194); Choklad eller kakao tillförd (H0231); Fruktsocker (H0168); Mjölk eller mjölkprodukt tillförd (H0297); Socker eller sirap tillfört (H0136); Stärkelse tillfört (H0156); Sötningsmedel (H0108); Vegetabiliskt fett eller olja tillfört (H0263),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Plast (N0036),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),"Färdiga mixer: typ kakmix, soppulver (Z0074)",,,
Socker,1892,404.7,1693.2,99.6,0,0,0,0.4,0,0,0,100,100,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1989,Saccharum officinarum L.,"Socker, honung eller sirap (A0836)",Sockerrör (B1378),Vitt socker (C0157),Kristall (E0143),Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Socker,"socker, strösocker"
Brun farin,1893,388,1623.5,95.5,0,0,0,2.5,0,2,1,93,93,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.03,0,0,0,0,0,0,1,NULL,7.2,185,320,28,55,0.14,0,0,0,1989,Beta vulgaris L. var. altissima Döll.,"Socker, honung eller sirap (A0836)",Sockerbeta (B1370),Brunt socker (C0156),Kristall (E0143),Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Färg tillförd (H0150); Socker eller sirap tillfört (H0136),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Brun farin,"farin, brun farin, farinsocker, brunt farinsocker"
Ljus sirap,1894,323.4,1353.2,79.6,0,0,0,19,0,1.4,44.8,35.2,35.2,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,1,0,0.3,10,38,2,450,1.13,1,0,0,1989,Saccharum officinarum L.,"Socker, honung eller sirap (A0836)",Socker producerande planta (B1012),Socker sirap och flytande sirap (C0271),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Ljus sirap,ljus sirap
Honung,1896,332.4,1390.6,81.5,0,0.3,0,18,0,0.2,71,3.7,0.8,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.04,2,0.3,0.35,0.02,0,0,6,0.5,0.5,5,51,3,5,0.01,0,0.6,0,1989,Saccharum officinarum L.,"Socker, honung eller sirap (A0836)",Växter som livsmedel (B1347),Honung (C0188),Halvflytande med mjuk konsistens (pastej) (E0135),Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Honung,honung
Druvsocker,1897,370.1,1548.7,91.1,0,0,0,8.9,0,0,91.1,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0.3,0,1,0,0,0,0,1989,Beta vulgaris L. var. altissima Döll.,"Socker, honung eller sirap (A0836)",Sockerbeta (B1370),Vitt socker (C0157),Kristall (E0143),Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Druvsocker,druvsocker
